timestamp,ax,ay,az,gx,gy,gz,pressing_id
522460,-9328,20023,29705,-3485,-19223,32764,1
522473,-8796,18982,29366,-4531,-18899,32711,1
522486,-7939,17627,28372,-5336,-18231,32197,1
522498,-5527,15082,25807,-6777,-17359,31394,1
522511,-4000,15386,24538,-7360,-17751,31800,1
522525,-2638,16576,22931,-7777,-18854,32581,1
522538,-1600,21754,20301,-6087,-22343,32764,1
522551,-3658,24164,23356,-2406,-23560,32764,1
522564,-10469,26098,32764,4228,-20628,32764,1
522576,-14097,26321,32764,3931,-17942,32764,1
522589,-14882,25483,32764,394,-17008,32764,1
522602,-9753,21008,28628,-6896,-21555,31656,1
522615,-5703,19250,25083,-6800,-23977,31421,1
522628,-2642,18976,23704,-4860,-24592,32339,1
522640,-3979,21882,27513,898,-22796,32764,1
522654,-5518,23010,30475,2840,-21971,32764,1
522666,-6922,23697,32460,3868,-20925,32764,1
522679,-8069,24731,32764,3394,-18512,32764,1
522692,-8029,24478,32764,1761,-18646,32764,1
522704,-5726,23562,32671,28,-20003,32764,1
522717,-3844,24278,32367,-1246,-23066,32764,1
522730,-2540,24917,32358,-808,-23029,32764,1
522743,-5457,26150,32764,1324,-19577,32764,1
522755,-7752,26056,32764,2043,-17774,32764,1
522769,-9478,25486,32764,1835,-16439,32764,1
522781,-10601,23281,32764,-1481,-15392,32764,1
522794,-9930,22029,31307,-3651,-15759,32764,1
522807,-8489,21430,28375,-5551,-16687,32764,1
522820,-6154,20937,23117,-7043,-18662,32764,1
522832,-6271,21566,22365,-6024,-18727,32764,1
522845,-7407,22541,23033,-4275,-18075,32764,1
522858,-10877,23700,26092,-1331,-15340,32764,1
522871,-12742,23951,27518,-837,-14265,32764,1
522884,-12988,22198,28944,-2083,-13821,32764,1
522896,-11627,21486,28954,-3527,-14356,32764,1
522909,-10505,21221,27594,-5316,-14905,32764,1
522922,-9078,20144,23818,-7014,-15724,32764,1
522935,-8689,20559,23861,-6455,-15478,32764,1
522948,-9097,21412,24236,-5779,-14676,32764,1
522960,-11237,20510,25164,-4894,-13389,32764,1
522973,-10311,19441,26100,-4925,-12953,32736,1
522986,-8886,19071,26454,-5832,-12433,32506,1
522999,-6289,18718,22815,-9451,-12675,32607,1
523012,-4965,19685,20081,-10515,-14130,32759,1
523025,-4336,23292,18056,-10279,-16103,32764,1
523037,-6454,24315,21244,-4854,-18691,32764,1
523050,-9242,25482,26233,-1423,-17680,32764,1
523063,-15339,25372,32097,-378,-14301,32764,1
523076,-14625,24107,30921,-2762,-14728,32755,1
523089,-11470,21948,27421,-5313,-16662,32197,1
523101,-4626,18454,23007,-5844,-20223,31786,1
523114,-3457,18323,22806,-4389,-20714,32635,1
523127,-3538,19151,24392,-2508,-20961,32764,1
523140,-4083,21462,28771,-228,-20078,32764,1
523153,-4009,22116,30042,136,-18898,32764,1
523166,-3686,23025,31598,364,-17966,32764,1
523178,-4917,25159,32764,-377,-17779,32764,1
523221,-8165,25575,32421,-5836,-18720,32764,1
523234,-7225,25975,29591,-6130,-17493,32764,1
523247,-6847,26698,29703,-5254,-17116,32764,1
523260,-6658,28369,30711,-4328,-16812,32764,1
523272,-8703,31128,32749,-3635,-16216,32764,1
523285,-11137,31105,32764,-3877,-15830,32764,1
523298,-14567,27744,32545,-5727,-14635,32764,1
523311,-14076,25459,30727,-7134,-14208,32764,1
523324,-12180,23448,27643,-8770,-14023,32764,1
523336,-6906,20828,20742,-10759,-14961,32764,1
523349,-4735,20838,18127,-10367,-15763,32764,1
523362,-4361,21194,17303,-8762,-16405,32764,1
523375,-5373,24462,22751,-4262,-15714,32764,1
523387,-7356,25433,25869,-3150,-14036,32764,1
523401,-10241,25594,28444,-3004,-12433,32764,1
523413,-10944,23698,30358,-6070,-11448,32764,1
523426,-8396,22781,27954,-8870,-12144,32764,1
523439,-4355,21720,21367,-12377,-14693,32764,1
523452,-3491,22135,19659,-12021,-15345,32764,1
523465,-3485,22787,19931,-10529,-15023,32764,1
523478,-7158,23720,24357,-7912,-11806,32764,1
523490,-9032,23906,26637,-8109,-10626,32764,1
523503,-8815,23567,27281,-9622,-10048,32764,1
523516,-6316,23549,22177,-13971,-11259,32764,1
523529,-3731,24181,18706,-14752,-13822,32764,1
523542,-680,25258,16764,-13722,-17046,32764,1
523554,1880,30210,23107,-6184,-21216,32764,1
523567,658,32323,29419,-2184,-20477,32764,1
523580,-8216,32742,32764,192,-18101,32764,1
523593,-10693,32685,32764,-2718,-15557,32764,1
523606,-9772,30836,32764,-7231,-17219,32764,1
523618,-2685,26000,31062,-11802,-23136,32764,1
523631,509,25908,28324,-11029,-24206,32764,1
523644,1576,28282,27977,-8827,-23889,32764,1
523657,-4328,32115,32173,-4767,-21656,32764,1
523669,-7535,32742,32764,-4041,-20746,32764,1
523683,-10380,32742,32764,-3955,-20244,32764,1
523695,-12887,32742,32764,-5291,-19807,32764,1
523708,-13039,32742,32764,-6471,-19591,32764,1
523721,-13480,32742,32764,-7861,-19536,32764,1
523734,-13515,32742,32764,-9311,-20822,32764,1
523746,-12709,32739,32283,-9303,-21230,32764,1
523759,-12734,32417,30161,-9235,-20839,32764,1
523772,-13096,32259,29345,-8927,-20576,32764,1
523785,-12700,32605,29253,-8381,-20574,32764,1
523798,-11158,32742,29559,-7263,-20317,32764,1
523810,-11149,32703,29755,-6604,-19392,32764,1
523823,-11693,32082,30117,-5979,-17909,32764,1
523836,-14640,29602,30547,-5899,-14989,32764,1
523849,-15409,27848,29575,-6798,-14484,32764,1
523862,-13994,25370,28160,-7968,-14788,32764,1
523874,-8925,23308,24218,-10338,-15345,32764,1
523888,-6660,22692,21567,-11078,-15564,32764,1
523900,-5234,22974,18887,-10796,-15565,32764,1
523913,-6301,23785,20356,-7245,-14744,32764,1
523926,-8499,24774,22904,-5470,-13508,32764,1
523938,-13958,23955,26292,-5116,-11362,32764,1
523951,-14752,21827,26542,-6472,-11091,32764,1
523964,-12846,20025,25613,-8414,-11248,32761,1
523977,-7535,18519,19828,-12206,-12352,32510,1
523989,-6403,18614,17340,-12543,-13310,32742,1
524003,-6325,18933,16595,-11395,-14029,32764,1
524015,-8816,21062,22665,-7286,-12613,32764,1
524028,-11061,21917,25594,-6955,-11042,32764,1
524041,-11542,21932,26381,-8151,-10160,32764,1
524054,-7915,22854,21317,-11765,-11704,32186,1
524067,-6038,23016,18732,-11554,-14505,32100,1
524079,-4064,24909,23436,-5074,-19944,32763,1
524092,-4680,26068,29660,-1344,-20395,32764,1
524105,-7095,26723,32764,486,-18750,32764,1
524118,-12825,24728,32764,-2463,-14698,31946,1
524130,-11568,22551,32764,-6349,-14812,29718,1
524143,-9267,20748,31156,-9552,-16655,28246,1
524156,-4455,18668,23654,-11563,-21470,28777,1
524169,-3305,18194,22145,-10301,-22185,30380,1
524182,-2947,18602,22456,-8103,-21305,32119,1
524194,-2419,21297,27368,-3985,-18105,32764,1
524208,-3107,23567,30026,-3370,-17187,32764,1
524220,-4846,25261,31499,-3805,-16807,32764,1
524233,-8113,26452,31255,-5504,-16805,32764,1
524246,-9048,26830,31212,-6151,-16798,32764,1
524259,-9704,26917,29875,-7929,-16652,32764,1
524271,-9830,26892,28308,-8766,-16625,32764,1
524284,-9737,26330,27306,-9101,-16798,32764,1
524297,-8768,26363,26990,-8956,-16517,32764,1
524309,-8882,26833,26939,-9106,-15884,32764,1
524323,-8802,27636,26211,-9556,-15235,32764,1
524335,-7637,29433,23761,-9804,-14699,32764,1
524378,-9084,31767,30694,-6098,-14188,32764,1
524391,-13504,28810,30610,-8529,-13662,32764,1
524404,-13168,26535,27463,-10507,-13497,32764,1
524417,-10670,24656,23464,-11965,-13708,32764,1
524429,-5247,22595,17349,-11988,-15905,32764,1
524442,-2633,21847,16027,-10347,-17329,32764,1
524455,-456,21923,17265,-7670,-18008,32764,1
524468,-2528,24409,23148,-3205,-16487,32764,1
524481,-6479,25197,25450,-2405,-15088,32764,1
524494,-10506,24524,28410,-3694,-12990,32764,1
524506,-10051,24230,27822,-5570,-13173,32764,1
524521,-8412,23351,26387,-7313,-14485,32764,1
524533,-4507,23221,25517,-8217,-17525,32764,1
524546,-4788,24033,25677,-7875,-17243,32764,1
524559,-6561,24704,27093,-7248,-15766,32764,1
524572,-11631,25034,28376,-6510,-11771,32764,1
524584,-13321,24038,28681,-7447,-10570,32764,1
524597,-12156,22276,24214,-11196,-10907,32764,1
524610,-9733,21921,21885,-12301,-12491,32764,1
524623,-6769,22071,20310,-12481,-13984,32764,1
524636,-2713,24265,21363,-9434,-14881,32764,1
524648,-2479,26933,24634,-7160,-14273,32764,1
524661,-3489,29629,28727,-5357,-13205,32764,1
524674,-9116,32502,32764,-5075,-11160,32764,1
524687,-10417,32690,32764,-7330,-11002,32764,1
524700,-9705,31685,32214,-10311,-11799,32764,1
524712,-5551,28259,25572,-12817,-15732,32764,1
524725,-3268,26745,23995,-12013,-17482,32764,1
524738,-1313,26737,24784,-10547,-18624,32764,1
524751,-1330,27496,25903,-8094,-18300,32764,1
524764,-1951,28236,26929,-7452,-17900,32764,1
524777,-3221,30028,29908,-6913,-17789,32764,1
524789,-3437,30529,30789,-7207,-17647,32764,1
524802,-3526,30974,31061,-7702,-17490,32764,1
524815,-5284,32718,31012,-8804,-17796,32764,1
524828,-6779,32742,30823,-9279,-18234,32764,1
524841,-7723,32742,30742,-9628,-18562,32764,1
524853,-8706,32742,29532,-9932,-17863,32764,1
524866,-9074,32742,28826,-9735,-17115,32764,1
524879,-9496,32742,28509,-9425,-16601,32764,1
524892,-10258,32742,28219,-9248,-16681,32764,1
524904,-10398,32742,27363,-9423,-16911,32764,1
524917,-10141,32685,24267,-8941,-16999,32764,1
524930,-10359,31794,23447,-7633,-17053,32764,1
524943,-11133,30314,24699,-5721,-17190,32764,1
524956,-13084,27737,29062,-4371,-17274,32764,1
524968,-13765,25401,28828,-5782,-17425,32764,1
524982,-13287,23374,26959,-7637,-17483,32764,1
524994,-9889,20712,19904,-9791,-17048,32728,1
525007,-7903,19591,17756,-9137,-16897,32649,1
525020,-6529,19134,16646,-7675,-16681,32747,1
525033,-8081,19667,19032,-3240,-16386,32764,1
525046,-10088,20397,21637,-1526,-16153,32764,1
525058,-15162,20542,26043,-749,-14932,32764,1
525071,-16760,19762,25790,-2035,-13206,32764,1
525084,-17207,18546,23891,-3559,-11943,32748,1
525097,-16228,15813,18522,-5422,-10794,30872,1
525109,-15475,14660,17176,-5339,-11072,29976,1
525122,-15621,13730,16447,-5100,-11070,29467,1
