timestamp,ax,ay,az,gx,gy,gz,pressing_id
2221209,11878,30517,16677,-32764,3870,-16238,4
2221222,12603,31526,8541,-32764,4420,-15209,4
2221235,14045,26867,-3688,-32764,3406,-11889,4
2221248,14193,24054,-7964,-32764,2781,-8869,4
2221260,12549,20749,-10383,-32764,2652,-5420,4
2221273,9915,16940,-10958,-32764,2992,20,4
2221286,10572,15859,-12619,-32764,3087,2808,4
2221299,9161,14283,-14132,-32764,3834,6329,4
2221312,859,8004,-19279,-32726,6548,12332,4
2221324,-3854,4387,-19934,-30057,7597,12191,4
2221337,-7057,2844,-19530,-23330,7853,10238,4
2221350,-5873,2528,-18274,-10083,7878,3593,4
2221363,-5691,1103,-19032,-5107,8697,1550,4
2222027,-747,15773,23761,-8314,3195,-4049,5
2222040,-348,17125,27196,-10883,2521,-3394,5
2222053,-1793,18078,32764,-14301,1800,-2556,5
2222065,-5817,19891,32764,-24712,-175,-604,5
2222078,-5722,21638,32764,-30368,-1296,-1261,5
2222091,4996,31793,32764,-32764,-7341,-1382,5
2222105,8575,32742,32764,-32764,-8509,1467,5
2222118,5996,32742,32764,-32764,-8453,5621,5
2222131,-582,32742,32764,-32764,-8879,7851,5
2222144,1115,32742,30001,-32764,-9980,6426,5
2222156,7668,32742,8398,-32764,-10803,4512,5
2222169,9501,31855,-91,-32764,-12356,7350,5
2222182,7099,27938,-7720,-32764,-9937,11671,5
2222195,-3137,21440,-18936,-32764,-689,16616,5
2222207,-6154,18321,-20286,-32764,1885,15807,5
2222220,-8423,15142,-20950,-32764,4146,13422,5
2222233,-2339,5615,-22361,-32764,3722,7415,5
2222246,2874,1475,-22043,-32693,3379,6625,5
2222259,5398,-1645,-20521,-28916,3747,7710,5
2222271,493,-3956,-13543,-12894,5718,11199,5
2222284,-3591,-4160,-10218,-7979,6202,11420,5
2222297,-6311,-4698,-7063,-5390,6379,9885,5
2222310,-4363,-5584,-4292,-4429,5290,4947,5
2222323,-3136,-5752,-4948,-4944,4951,3488,5
2222336,-4934,-7666,-8528,-4990,5975,1883,5
2222348,-5872,-7814,-9984,-3874,6904,653,5
2223273,-449,17606,23521,141,-1159,9666,6
2223286,584,13249,24267,-2553,646,8300,6
2223299,3577,12211,26357,-4441,4208,5790,6
2223312,6829,12333,29166,-4477,6196,6359,6
2223324,7585,17621,32764,-6081,8938,10589,6
2223337,4677,22196,32764,-8628,8120,13194,6
2223350,-687,26387,32764,-12860,6489,14447,6
2223363,-6688,31997,32764,-27720,6038,10851,6
2223375,-3031,32742,32764,-32562,9890,6889,6
2223388,3712,32742,32764,-32764,14192,3631,6
2223401,18221,32742,32764,-32764,17486,874,6
2223414,22808,32742,32764,-32764,16458,1436,6
2223427,21979,32742,32764,-32764,15447,2696,6
2223440,18613,32742,32764,-32764,14716,1771,6
2223452,20358,32742,32764,-32764,15213,125,6
2223465,28825,32742,23363,-32764,17430,-220,6
2223478,31242,32742,20425,-32764,17787,2166,6
2223491,30327,32742,17903,-32764,17746,5911,6
2223504,23632,32515,6166,-32764,20665,12511,6
2223516,18971,30985,1182,-32764,22016,14257,6
2223562,15493,20557,-2021,-32764,10175,14562,6
2223575,13567,17805,-4934,-32764,10607,17502,6
2223587,6042,11969,-7404,-32764,11913,20783,6
2223600,1703,11208,-6454,-31926,11947,20810,6
2223613,-1198,10015,-6339,-28312,11654,19784,6
2223626,-2639,9157,-6872,-22498,9881,15858,6
2223639,-3201,8172,-7455,-20795,9046,13892,6
2223651,-3762,7496,-5873,-19251,7859,12202,6
2223664,-1374,5391,-8895,-17483,4931,10382,6
2223677,-1738,5953,-10988,-16571,4746,10720,6
2223690,-3737,5995,-14244,-15794,4962,11304,6
2223703,-9868,5241,-21133,-11366,6015,10684,6
2223716,-11627,4744,-23159,-7607,6247,9043,6
2223728,-12687,4423,-25031,-3217,6087,6829,6
2224764,2665,11126,19853,1626,-483,4695,7
2224776,727,10397,23447,-1133,575,5569,7
2224789,307,10225,24541,-2928,828,6094,7
2224802,-1304,11279,25273,-5418,4111,6425,7
