timestamp,ax,ay,az,gx,gy,gz,pressing_id
1618862,1102,8524,32764,16819,-8131,3574,3
1618874,-1054,6656,32764,17987,-5350,1585,3
1618887,2756,5718,32764,18650,-2985,-3257,3
1618900,6967,4620,32764,15655,-2931,-4536,3
1618913,10323,2785,32764,10737,-2848,-4225,3
1618925,10135,-683,32764,3891,875,-812,3
1619710,-6755,6107,-27942,17308,-1755,1536,4
1619723,-9414,12813,-32715,20714,-2940,1163,4
1619735,-11234,16846,-32742,28311,-8919,-366,4
1619748,-10948,20125,-32742,31854,-12317,-3753,4
1619761,-3930,28472,-32742,32764,-17910,-12449,4
1619774,891,32169,-32742,32764,-19940,-16342,4
1619787,6358,32742,-32742,32764,-22546,-19877,4
1619799,25879,32742,-31567,32764,-28157,-24522,4
1619812,32685,32742,-26040,32764,-29138,-23756,4
1619825,32711,32742,-23154,32764,-28517,-20026,4
1619838,32711,32742,-14101,32764,-28894,-8179,4
1619851,32711,32742,-6446,32764,-32095,-3720,4
1619863,32684,32742,-202,32764,-32610,-598,4
1619876,32139,32742,6261,32764,-32698,-1004,4
1619889,32711,32742,11668,32764,-32664,-1249,4
1619903,32711,32742,5441,32764,-18168,10133,4
1619916,32711,32742,4716,32764,-9072,19797,4
1619929,32711,32742,18744,32764,-9889,27481,4
1619941,30566,32742,32764,32764,-27425,32764,4
1619954,18967,32742,32764,32764,-31627,32106,4
1619967,18615,32742,32764,32764,-32753,27163,4
1619980,29119,32742,32764,20564,-32764,21912,4
1619993,20421,32742,32764,3649,-32764,23158,4
1620005,15488,31309,32764,-9496,-32764,13339,4
1620018,23043,24830,29131,-5428,-32764,7049,4
1620031,27697,25143,23833,3207,-32280,4844,4
1620044,15542,28241,19549,24978,-10129,7410,4
1620056,6182,31018,28451,32006,-3352,8544,4
1620069,-3902,28709,32764,32508,-1630,8114,4
1620082,-4052,22801,32764,22026,-5705,982,4
1620095,-1808,19243,32764,14740,-6344,-2190,4
1620108,1285,17347,32764,9830,-5628,-4717,4
1620120,9232,15347,32764,5612,-294,-6415,4
1620133,10613,14830,32764,4828,2632,-4745,4
1621118,-4199,-807,-15165,578,1711,114,5
1621131,1043,2848,-21797,2557,404,378,5
1621144,7423,10108,-32742,5954,-2698,1737,5
1621157,8457,29368,-32742,18073,-12566,5463,5
1621169,5891,32742,-32742,27371,-18211,4060,5
1621182,12147,32742,-32742,32764,-25372,-5795,5
1621195,20199,32742,-32742,32764,-28420,-10904,5
1621208,28805,32742,-32742,32764,-30703,-14801,5
1621221,32711,32742,-27104,32764,-32764,-17882,5
1621233,32711,32742,-22551,32764,-32764,-16381,5
1621246,32711,32742,-17477,32764,-32764,-13648,5
1621259,32711,32742,-5387,32764,-32764,-3182,5
1621272,32711,32742,-803,32764,-32764,-580,5
1621285,32711,32742,7179,32764,-32764,-3210,5
1621297,32711,32742,32764,32764,-30543,-5141,5
1621310,32711,32742,32764,32764,-16649,7418,5
1621323,32455,32742,32764,32764,-7497,25330,5
1621336,23669,32742,32764,32764,-30781,32764,5
1621348,30134,32742,32764,32764,-32764,30567,5
1621391,31030,32742,32764,32764,-30939,19941,5
1621404,12126,32742,32764,31092,-22419,22307,5
1621417,-10670,32386,32764,23324,-13976,19777,5
1621430,-18573,25496,32764,12226,1109,12944,5
1621443,-22698,16906,32764,14075,4710,7830,5
1621456,-5602,14812,32764,20320,6503,-4612,5
1621468,5000,16546,32764,17785,9085,-5620,5
1621481,10971,17725,32764,10344,12338,-3791,5
1622336,-7022,-8344,-10346,-3630,76,1145,6
1622348,-6320,-8796,-10193,-3907,-14,1347,6
1622361,-5608,-8721,-10575,-3949,13,2686,6
1622374,-6038,-8087,-11127,-3683,526,3470,6
1622387,-7419,-7738,-12383,-3059,1257,3785,6
1622399,-9495,-6767,-13191,-1413,1518,2626,6
1622412,-9100,-6072,-13512,-407,921,1731,6
1622425,-4471,-2777,-16114,1455,-1919,565,6
1622438,-1414,256,-17766,2712,-3517,769,6
1622451,1666,4034,-20089,4238,-4484,1385,6
1622464,2881,14120,-28862,7772,-6109,4139,6
1622476,302,19131,-32702,11145,-8026,4933,6
1622489,-2516,23889,-32742,16742,-10288,4062,6
1622502,-2998,32742,-32742,32095,-13942,-2177,6
1622515,1978,32742,-32742,32764,-16153,-6358,6
1622528,9556,32742,-32742,32764,-18196,-9957,6
1622540,25543,32742,-32742,32764,-23224,-13909,6
1622553,32263,32742,-32741,32764,-28704,-14793,6
1622566,32711,32742,-24305,32764,-32764,-14062,6
1622579,32711,32742,-19777,32764,-32764,-11665,6
